Month,Average(EGP/USD=),Min(EGP/USD=),(Max EGP/USD=),Nb-of-working-days,
Oct-07,0.180379,0.178938,0.181401,23
Sep-07,0.177668,0.17619,0.179031,20
Aug-07,0.176776,0.176061,0.177244,23
Jul-07,0.176039,0.17542,0.177083,22
Jun-07,0.175614,0.175252,0.176005,21
May-07,0.175644,0.174222,0.17608,22
Apr-07,0.175705,0.175352,0.176068,19
Mar-07,0.17541,0.174996,0.175601,22
Feb-07,0.175525,0.175112,0.176124,20
Jan-07,0.175335,0.174941,0.17556,22
Dec-06,0.175,0.174757,0.175333,19
Nov-06,0.17461,0.174097,0.174884,22
Oct-06,0.174326,0.174135,0.174909,22
Sep-06,0.174105,0.171696,0.174402,21
Aug-06,0.174074,0.173736,0.17439,23
Jul-06,0.17388,0.173247,0.174246,21
Jun-06,0.173676,0.173347,0.175261,22
May-06,0.173375,0.171873,0.173918,22
Apr-06,0.17394,0.173725,0.174144,18
Mar-06,0.174126,0.173807,0.174447,23
Feb-06,0.174339,0.174122,0.174521,20
Jan-06,0.173636,0.158129,0.174902,22
Dec-05,0.171745,0.157741,0.174266,21
Nov-05,0.17341,0.170901,0.174371,22
Oct-05,0.173496,0.171813,0.173792,21
Sep-05,0.173404,0.173147,0.173884,22
Aug-05,0.173233,0.172933,0.173428,23
Jul-05,0.173032,0.172126,0.173357,21
Jun-05,0.172548,0.172056,0.17278,22
May-05,0.172466,0.172245,0.172745,22
Apr-05,0.172443,0.172224,0.172768,21
Mar-05,0.17236,0.171959,0.172641,21
Feb-05,0.172031,0.171261,0.172405,20
Jan-05,0.169557,0.166238,0.171543,21
